[1776464692.588507] tid=1810269  OPEN  fd=4  (O_RDWR)  → /dev/hidraw3
[1776464692.644085] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGRDESCSIZE or HIDIOCGVERSION, 0x7fffc1bc82fc) = 0
[1776464705.655690] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464705.856781] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464705.857070] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464706.057874] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464706.058238] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464706.259854] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464706.260116] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464706.460839] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464706.461199] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464706.661996] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464706.662268] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464706.862897] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464706.863163] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464707.063935] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464707.064391] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464707.265242] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464707.265550] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464707.468437] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464707.468783] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464707.669699] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464707.670072] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464707.871401] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464707.871883] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
